customer_id,aircraft_id,tot_price_all_tickets
1,CRJ900,320
1,ERJ142,250
1,NULL,570
2,767-301ER,130
2,A321,505
2,NULL,635
4,767-301ER,780
4,NULL,780
5,767-301ER,430
5,ERJ142,240
5,NULL,670
7,767-301ER,430
7,NULL,430
8,A321,465
8,NULL,465
9,767-301ER,380
9,CRJ900,390
9,NULL,770
10,A321,135
10,NULL,135
11,767-301ER,930
11,ERJ142,295
11,NULL,1225
13,A321,395
13,NULL,395
14,767-301ER,170
14,ERJ142,120
14,NULL,290
15,A321,430
15,NULL,430
16,CRJ900,395
16,NULL,395
17,A321,250
17,NULL,250
18,767-301ER,565
18,NULL,565
19,767-301ER,100
19,CRJ900,450
19,NULL,550
20,CRJ900,680
20,NULL,680
21,CRJ900,490
21,NULL,490
22,ERJ142,220
22,NULL,220
24,A321,480
24,NULL,480
25,767-301ER,649
25,NULL,649
27,767-301ER,130
27,NULL,130
28,ERJ142,170
28,NULL,170
29,A321,410
29,ERJ142,510
29,NULL,920
31,767-301ER,130
31,NULL,130
32,ERJ142,220
32,NULL,220
33,CRJ900,490
33,NULL,490
41,A321,395
41,NULL,395
44,767-301ER,380
44,NULL,380
46,A321,530
46,NULL,530
47,CRJ900,225
47,NULL,225
49,767-301ER,430
49,NULL,430
50,A321,275
50,NULL,275
NULL,NULL,15369
